title,sku,DESCRIPTION,price_for_25,price_for_100,price_for_250,price_for_500,price_for_1000,net_price,net_price_bundle
"8 x 5 x 5"" Shipping Boxes",BS080505,32 ECT,0.37,0.36,0.35,0.35,0.33,$9.25 ,25/Bundle
"8 x 6 x 3"" Shipping Boxes",BS080603,32 ECT,0.33,0.32,0.31,0.29,0.29,$8.25 ,25/Bundle
"8 x 6 x 4"" Shipping Boxes",BS080604,32 ECT,0.42,0.4,0.37,0.36,0.35,$10.50 ,25/Bundle
"8 x 6 x 4"" Multi-Depth Boxes",BS080604MD,"Multi-Depth: 2"" • 32 ECT",0.42,0.4,0.37,0.36,0.35,$10.50 ,25/Bundle
"8 x 6 x 5"" Shipping Boxes",BS080605,32 ECT,0.44,0.43,0.42,0.4,0.37,$11.00 ,25/Bundle
"8 x 6 x 6"" Shipping Boxes",BS080606,32 ECT,0.49,0.48,0.44,0.43,0.42,$12.25 ,25/Bundle
"8 x 7 x 7"" Shipping Boxes",BS080707,32 ECT,0.62,0.59,0.57,0.54,0.53,$15.50 ,25/Bundle
"8 x 8 x 3"" Shipping Boxes",BS080803,32 ECT,0.45,0.44,0.43,0.42,0.4,$11.25 ,25/Bundle
"8 x 8 x 4"" Shipping Boxes",BS080804,32 ECT,0.54,0.51,0.51,0.49,0.48,$13.50 ,25/Bundle
"8 x 8 x 5"" Shipping Boxes",BS080805,32 ECT,0.59,0.56,0.54,0.51,0.5,$14.75 ,25/Bundle
"8 x 8 x 6"" Shipping Boxes",BS080806,32 ECT,0.54,0.51,0.5,0.49,0.45,$13.50 ,25/Bundle
"8 x 8 x 6"" White Boxes",BS080806W,32 ECT,0.69,0.68,0.65,0.62,0.59,$17.25 ,25/Bundle
"8 x 8 x 7"" Shipping Boxes",BS080807,32 ECT,0.57,0.54,0.53,0.51,0.5,$14.25 ,25/Bundle
"8 x 8 x 8"" Shipping Boxes",BS080808,32 ECT,0.51,0.51,0.51,0.51,0.51,$12.75 ,25/Bundle
"8 x 8 x 8"" White Boxes",BS080808W,32 ECT,0.68,0.68,0.68,0.68,0.68,$17.00 ,25/Bundle
"8 x 8 x 8"" Multi-Depth Boxes",BS080808MD,"Multi-Depth: 6, 4"" • 32 ECT",0.63,0.63,0.63,0.63,0.63,$15.75 ,25/Bundle
"8 x 8 x 9"" Shipping Boxes",BS080809,32 ECT,0.75,0.72,0.69,0.67,0.65,$18.75 ,25/Bundle
"8 x 8 x 10"" Shipping Boxes",BS080810,32 ECT,0.68,0.67,0.62,0.6,0.59,$17.00 ,25/Bundle
"8 x 8 x 12"" Shipping Boxes",BS080812,32 ECT,0.75,0.72,0.69,0.67,0.63,$18.75 ,25/Bundle
8,BS080812RMD,"Multi-Depth: 10, 8"" • 32 ECT",0.82,0.79,0.75,0.72,0.69,$20.50 ,25/Bundle
"8 x 8 x 14"" Shipping Boxes",BS080814,32 ECT,0.83,0.79,0.76,0.72,0.69,$20.75 ,25/Bundle
"8 x 8 x 16"" Shipping Boxes",BS080816,32 ECT,0.9,0.85,0.83,0.79,0.76,$22.50 ,25/Bundle
"8 x 8 x 17"" Shipping Boxes",BS080817,32 ECT,0.9,0.85,0.84,0.8,0.76,$22.50 ,25/Bundle
"8 x 8 x 18"" Shipping Boxes",BS080818,32 ECT,0.93,0.9,0.85,0.84,0.8,$23.25 ,25/Bundle
"8 x 8 x 20"" Shipping Boxes",BS080820,32 ECT,1.02,0.95,0.92,0.87,0.85,$25.50 ,25/Bundle
"8 x 8 x 24"" Shipping Boxes",BS080824,32 ECT,1.16,1.09,1.06,1.02,0.98,$29.00 ,25/Bundle
